FLOW_START_MILLISECONDS,FLOW_END_MILLISECONDS,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label,Attack,label
1556424047762,1556424048601,192.168.1.37,36879,192.168.1.193,445,6,10,848,6,60,1,26,26,18,838,838,0,64,64,184,52,52,184,0,1,552,3,0,0,8085,572,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,201,432,167,160,0,0,0,0,1,ransomware,Ransomware
1556424047763,1556424048601,192.168.1.37,38831,192.168.1.193,445,6,10,848,6,60,1,26,26,18,837,837,0,64,64,184,52,52,184,0,1,552,3,0,0,8095,572,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,200,432,167,160,0,0,0,0,1,ransomware,Ransomware
1556424047765,1556424048601,192.168.1.37,33011,192.168.1.193,445,6,10,848,6,60,1,26,26,18,836,836,0,64,64,184,52,52,184,0,1,552,3,0,0,8105,573,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,202,428,166,159,0,0,0,0,1,ransomware,Ransomware
1556424047766,1556424048601,192.168.1.37,38269,192.168.1.193,445,6,10,848,6,60,1,26,26,18,834,834,0,64,64,184,52,52,184,0,1,552,3,0,0,8124,574,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,201,428,166,159,0,0,0,0,1,ransomware,Ransomware
1556424047767,1556424048601,192.168.1.37,38125,192.168.1.193,445,6,10,848,6,60,1,26,26,18,833,833,0,64,64,184,52,52,184,0,1,552,3,0,0,8134,575,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,200,428,166,158,0,0,0,0,1,ransomware,Ransomware
1556424047768,1556424048601,192.168.1.37,33805,192.168.1.193,445,6,10,848,6,60,1,26,26,18,832,832,0,64,64,184,52,52,184,0,1,552,3,0,0,8144,576,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,203,424,166,157,0,0,0,0,1,ransomware,Ransomware
1556424047769,1556424048601,192.168.1.37,39241,192.168.1.193,445,6,10,848,6,60,1,26,26,18,831,831,0,64,64,184,52,52,184,0,1,552,3,0,0,8153,576,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,202,424,166,157,0,0,0,0,1,ransomware,Ransomware
1556424047770,1556424048601,192.168.1.37,37327,192.168.1.193,445,6,10,848,6,60,1,26,26,18,830,830,0,64,64,184,52,52,184,0,1,552,3,0,0,8163,577,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,200,424,165,157,0,0,0,0,1,ransomware,Ransomware
1556424047772,1556424048601,192.168.1.37,41103,192.168.1.193,445,6,10,848,6,60,1,26,26,18,829,829,0,64,64,184,52,52,184,0,1,552,3,0,0,8173,578,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,203,420,165,156,0,0,0,0,1,ransomware,Ransomware
1556424047773,1556424048601,192.168.1.37,42107,192.168.1.193,445,6,10,848,6,60,1,26,26,18,827,827,0,64,64,184,52,52,184,0,1,552,3,0,0,8193,579,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,202,420,165,156,0,0,0,0,1,ransomware,Ransomware
1556424047774,1556424047793,192.168.1.37,43927,192.168.1.193,445,6,10,456,6,487,5,31,27,30,18,17,18,64,64,183,40,40,183,27,25,0,0,0,0,192000,205052,8,3,0,0,0,29200,8192,0,0,0,0,0,0,0,11,3,4,0,11,4,4,1,ransomware,Ransomware
1556424047785,1556424048601,192.168.1.37,41201,192.168.1.193,445,6,10,848,6,60,1,26,26,18,816,816,0,64,64,184,52,52,184,0,1,552,3,0,0,8303,587,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,203,408,162,152,0,0,0,0,1,ransomware,Ransomware
1556424047786,1556424048601,192.168.1.37,36833,192.168.1.193,445,6,10,848,6,60,1,26,26,18,814,814,0,64,64,184,52,52,184,0,1,552,3,0,0,8323,588,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,201,408,162,152,0,0,0,0,1,ransomware,Ransomware
1556424047788,1556424048601,192.168.1.37,46029,192.168.1.193,445,6,10,848,6,60,1,26,26,18,813,813,0,64,64,184,52,52,184,0,1,552,3,0,0,8334,589,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,203,404,162,151,0,0,0,0,1,ransomware,Ransomware
1556424047789,1556424048600,192.168.1.37,46515,192.168.1.193,445,6,10,848,6,60,1,26,26,18,811,811,0,64,64,184,52,52,184,0,1,552,3,0,0,8354,591,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,202,404,161,151,0,0,0,0,1,ransomware,Ransomware
1556424047790,1556424048600,192.168.1.37,43629,192.168.1.193,445,6,10,848,6,60,1,26,26,18,810,810,0,64,64,184,52,52,184,0,1,552,3,0,0,8364,591,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,201,404,161,151,0,0,0,0,1,ransomware,Ransomware
1556424047791,1556424048600,192.168.1.37,38967,192.168.1.193,445,6,10,848,6,60,1,26,26,18,809,809,0,64,64,184,52,52,184,0,1,552,3,0,0,8375,592,3,4,0,0,0,29200,8192,10240,40,0,0,0,0,200,404,161,151,0,0,0,0,1,ransomware,Ransomware
1556424049400,1556424049400,192.168.1.37,38013,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,33805,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,41103,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,39241,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,38269,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,38831,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,33011,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,38125,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,37327,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,45561,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049432,1556424049432,192.168.1.37,36879,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049433,1556424049433,192.168.1.37,41201,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049433,1556424049433,192.168.1.37,38967,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049433,1556424049433,192.168.1.37,43629,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049433,1556424049433,192.168.1.37,42107,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049433,1556424049433,192.168.1.37,46029,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049433,1556424049433,192.168.1.37,36833,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424049433,1556424049433,192.168.1.37,46515,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051032,1556424051032,192.168.1.37,38013,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,42107,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,38967,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,43629,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,46515,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,36833,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,41103,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,41201,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,38269,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,33805,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,38125,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,37327,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,33011,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,39241,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051064,1556424051064,192.168.1.37,46029,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051065,1556424051065,192.168.1.37,38831,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051065,1556424051065,192.168.1.37,36879,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424051065,1556424051065,192.168.1.37,45561,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054360,1556424054360,192.168.1.37,45561,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054360,1556424054360,192.168.1.37,36879,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054360,1556424054360,192.168.1.37,38831,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054360,1556424054360,192.168.1.37,33011,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054360,1556424054360,192.168.1.37,38269,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,46515,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,38013,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,46029,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,36833,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,41201,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,42107,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,41103,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,39241,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,33805,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,38125,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,38967,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,43629,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424054361,1556424054361,192.168.1.37,37327,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424061016,1556424061016,192.168.1.37,46029,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424061016,1556424061016,192.168.1.37,43629,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424061016,1556424061016,192.168.1.37,38013,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424061016,1556424061016,192.168.1.37,46515,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
1556424061016,1556424061016,192.168.1.37,38967,192.168.1.193,445,6,10,184,1,0,0,24,24,0,1,0,0,0,0,184,184,0,184,0,1,0,0,0,0,1472000,0,0,1,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ransomware,Ransomware
